sample-id	absolute-filepath
SRR6132539	/mnt/datasets/project_2/space_station/seqs/SRR6132539_1.fastq.gz
SRR6132540	/mnt/datasets/project_2/space_station/seqs/SRR6132540_1.fastq.gz
SRR6132541	/mnt/datasets/project_2/space_station/seqs/SRR6132541_1.fastq.gz
SRR6132542	/mnt/datasets/project_2/space_station/seqs/SRR6132542_1.fastq.gz
SRR6132543	/mnt/datasets/project_2/space_station/seqs/SRR6132543_1.fastq.gz
SRR6132544	/mnt/datasets/project_2/space_station/seqs/SRR6132544_1.fastq.gz
SRR6132545	/mnt/datasets/project_2/space_station/seqs/SRR6132545_1.fastq.gz
SRR6132546	/mnt/datasets/project_2/space_station/seqs/SRR6132546_1.fastq.gz
SRR6132547	/mnt/datasets/project_2/space_station/seqs/SRR6132547_1.fastq.gz
SRR6132548	/mnt/datasets/project_2/space_station/seqs/SRR6132548_1.fastq.gz
SRR6132549	/mnt/datasets/project_2/space_station/seqs/SRR6132549_1.fastq.gz
SRR6132550	/mnt/datasets/project_2/space_station/seqs/SRR6132550_1.fastq.gz
SRR6132551	/mnt/datasets/project_2/space_station/seqs/SRR6132551_1.fastq.gz
SRR6132552	/mnt/datasets/project_2/space_station/seqs/SRR6132552_1.fastq.gz
SRR6132553	/mnt/datasets/project_2/space_station/seqs/SRR6132553_1.fastq.gz
SRR6132554	/mnt/datasets/project_2/space_station/seqs/SRR6132554_1.fastq.gz
SRR6132555	/mnt/datasets/project_2/space_station/seqs/SRR6132555_1.fastq.gz
SRR6132556	/mnt/datasets/project_2/space_station/seqs/SRR6132556_1.fastq.gz
12858.0BR.3.R1	/mnt/datasets/project_2/hiseas/seqs/12858.0BR.3.R1.fastq.gz
12858.0KC.2.R1	/mnt/datasets/project_2/hiseas/seqs/12858.0KC.2.R1.fastq.gz
12858.0MR.4.R1	/mnt/datasets/project_2/hiseas/seqs/12858.0MR.4.R1.fastq.gz
12858.0TB.1.R1	/mnt/datasets/project_2/hiseas/seqs/12858.0TB.1.R1.fastq.gz
12858.10BR.49.R1	/mnt/datasets/project_2/hiseas/seqs/12858.10BR.49.R1.fastq.gz
12858.10KC.47.R1	/mnt/datasets/project_2/hiseas/seqs/12858.10KC.47.R1.fastq.gz
12858.10MR.50.R1	/mnt/datasets/project_2/hiseas/seqs/12858.10MR.50.R1.fastq.gz
12858.10TB.46.R1	/mnt/datasets/project_2/hiseas/seqs/12858.10TB.46.R1.fastq.gz
12858.11BR.52.R1	/mnt/datasets/project_2/hiseas/seqs/12858.11BR.52.R1.fastq.gz
12858.11KC.51.R1	/mnt/datasets/project_2/hiseas/seqs/12858.11KC.51.R1.fastq.gz
12858.11MR.53.R1	/mnt/datasets/project_2/hiseas/seqs/12858.11MR.53.R1.fastq.gz
